Device,Order,NSamples,NTraces,NLabels,Time
GPU,2,1600,20000,128,1.25
GPU,4,1600,20000,128,1.41
GPU,8,1600,20000,128,1.73
GPU,16,1600,20000,128,2.77
GPU,32,1600,20000,128,13.04
GPU,2,100,20000,256,0.0916
GPU,4,100,20000,256,0.11006
GPU,8,100,20000,256,0.15151
GPU,16,100,20000,256,0.44539
GPU,32,100,20000,256,1.9
GPU,2,200,20000,256,0.23644
GPU,4,200,20000,256,0.27496
GPU,8,200,20000,256,0.35841
GPU,16,200,20000,256,1.1
GPU,32,200,20000,256,4.02
GPU,2,400,20000,256,0.56721
GPU,4,400,20000,256,0.64763
GPU,8,400,20000,256,0.81586
GPU,16,400,20000,256,2.55
GPU,32,400,20000,256,8.58
GPU,2,800,20000,256,1.27
GPU,4,800,20000,256,1.45
GPU,8,800,20000,256,1.77
GPU,16,800,20000,256,5.74
GPU,32,800,20000,256,19.59
GPU,2,1600,20000,256,2.74
GPU,4,1600,20000,256,3.09
GPU,8,1600,20000,256,3.76
GPU,16,1600,20000,256,12.29
GPU,2,100,20000,2,0.00071335
GPU,4,100,20000,2,0.00093007
GPU,8,100,20000,2,0.00139
GPU,16,100,20000,2,0.00199
GPU,32,100,20000,2,0.00361
GPU,2,200,20000,2,0.00137
GPU,4,200,20000,2,0.00187
GPU,8,200,20000,2,0.00272
GPU,16,200,20000,2,0.00391
GPU,32,200,20000,2,0.00713
GPU,2,400,20000,2,0.00273
GPU,4,400,20000,2,0.00368
GPU,8,400,20000,2,0.00515
GPU,16,400,20000,2,0.00769
GPU,32,400,20000,2,0.01421
GPU,2,800,20000,2,0.0054
GPU,4,800,20000,2,0.0072
GPU,8,800,20000,2,0.00986
GPU,16,800,20000,2,0.01525
GPU,32,800,20000,2,0.02834
GPU,2,1600,20000,2,0.01081
GPU,4,1600,20000,2,0.01458
GPU,8,1600,20000,2,0.02036
GPU,16,1600,20000,2,0.03083
GPU,32,1600,20000,2,0.05644
GPU,2,100,20000,4,0.00111
GPU,4,100,20000,4,0.00156
GPU,8,100,20000,4,0.00213
GPU,16,100,20000,4,0.00397
GPU,32,100,20000,4,0.00764
GPU,2,200,20000,4,0.00216
GPU,4,200,20000,4,0.00285
GPU,8,200,20000,4,0.00435
GPU,16,200,20000,4,0.0079
GPU,32,200,20000,4,0.01527
GPU,2,400,20000,4,0.0042
GPU,4,400,20000,4,0.0058
GPU,8,400,20000,4,0.00841
GPU,16,400,20000,4,0.01574
GPU,32,400,20000,4,0.03047
GPU,2,800,20000,4,0.00854
GPU,4,800,20000,4,0.01123
GPU,8,800,20000,4,0.01737
GPU,16,800,20000,4,0.03149
GPU,32,800,20000,4,0.06082
GPU,2,1600,20000,4,0.01665
GPU,4,1600,20000,4,0.02264
GPU,8,1600,20000,4,0.03442
GPU,16,1600,20000,4,0.06238
GPU,32,1600,20000,4,0.11858
GPU,2,100,20000,8,0.0013
GPU,4,100,20000,8,0.00179
GPU,8,100,20000,8,0.00324
GPU,16,100,20000,8,0.00613
GPU,32,100,20000,8,0.01193
GPU,2,200,20000,8,0.00255
GPU,4,200,20000,8,0.00378
GPU,8,200,20000,8,0.00645
GPU,16,200,20000,8,0.01218
GPU,32,200,20000,8,0.0239
GPU,2,400,20000,8,0.0049
GPU,4,400,20000,8,0.00703
GPU,8,400,20000,8,0.01284
GPU,16,400,20000,8,0.02449
GPU,32,400,20000,8,0.04878
GPU,2,800,20000,8,0.01225
GPU,4,800,20000,8,0.01658
