Device,Time,Memory,Order,NSamples,NTraces,"NLabels, type"
CPU,0.0623505678271605,49024,16,50,100000,4 vec label
CPU,0.109241146,49024,16,50,200000,4 vec label
CPU,0.300275770411765,49024,16,50,500000,4 vec label
CPU,0.0081984785295082,62176,16,100,10000,4 vec label
CPU,0.0346954775793103,62176,16,100,50000,4 vec label
CPU,0.0668350812666667,62176,16,100,100000,4 vec label
CPU,0.0996291447843137,62176,16,100,200000,4 vec label
CPU,0.3459317754,62176,16,100,500000,4 vec label
CPU,0.0575533051724138,62176,16,1000,10000,4 vec label
CPU,0.2501641568,62176,16,1000,50000,4 vec label
CPU,0.460012340636364,62176,16,1000,100000,4 vec label
CPU,0.944070808833333,62176,16,1000,200000,4 vec label
CPU,2.34570141633333,62176,16,1000,500000,4 vec label
CPU,0.106654471638298,62176,16,2000,10000,4 vec label
CPU,0.355291950666667,62176,16,2000,50000,4 vec label
CPU,0.679459853,62176,16,2000,100000,4 vec label
CPU,1.34679135075,62176,16,2000,200000,4 vec label
CPU,3.3564824605,62176,16,2000,500000,4 vec label
CPU,0.226015393217391,62176,16,5000,10000,4 vec label
CPU,0.857859333333333,62176,16,5000,50000,4 vec label
CPU,1.67507933633333,62176,16,5000,100000,4 vec label
CPU,3.3763067735,62176,16,5000,200000,4 vec label
CPU,8.32992465,62176,16,5000,500000,4 vec label
CPU,0.498603620090909,62176,16,10000,10000,4 vec label
CPU,1.68098720933333,62176,16,10000,50000,4 vec label
CPU,3.3455117515,62176,16,10000,100000,4 vec label
CPU,6.678985397,62176,16,10000,200000,4 vec label
CPU,0.0130056137454545,49024,32,50,10000,4 vec label
CPU,0.0635190203797468,49024,32,50,50000,4 vec label
CPU,0.12258781302439,49024,32,50,100000,4 vec label
CPU,0.239825611809524,49024,32,50,200000,4 vec label
CPU,0.604748497777778,49024,32,50,500000,4 vec label
CPU,0.0205593523483607,62176,32,100,10000,4 vec label
CPU,0.0926503338518519,62176,32,100,50000,4 vec label
CPU,0.180606622035714,62176,32,100,100000,4 vec label
CPU,0.341357822266667,62176,32,100,200000,4 vec label
CPU,0.854600647,62176,32,100,500000,4 vec label
CPU,0.146183207571429,62176,32,1000,10000,4 vec label
CPU,0.63006086075,62176,32,1000,50000,4 vec label
CPU,1.1618195796,62176,32,1000,100000,4 vec label
CPU,2.312971673,62176,32,1000,200000,4 vec label
CPU,5.697948382,62176,32,1000,500000,4 vec label
CPU,0.273239487578947,62176,32,2000,10000,4 vec label
CPU,1.1742172056,62176,32,2000,50000,4 vec label
CPU,2.24953098566667,62176,32,2000,100000,4 vec label
CPU,4.5017337875,62176,32,2000,200000,4 vec label
CPU,10.923599157,62176,32,2000,500000,4 vec label
CPU,0.62642348825,62176,32,5000,10000,4 vec label
CPU,2.750560801,62176,32,5000,50000,4 vec label
CPU,5.496520403,62176,32,5000,100000,4 vec label
CPU,11.149616781,62176,32,5000,200000,4 vec label
CPU,27.564974322,62176,32,5000,500000,4 vec label
CPU,1.3603423235,62176,32,10000,10000,4 vec label
CPU,6.376968849,62176,32,10000,50000,4 vec label
CPU,12.891446195,62176,32,10000,100000,4 vec label
CPU,21.767001157,62176,32,10000,200000,4 vec label
CPU,0.0326342552597403,60521600,2,50,10000,8 scalar label
CPU,0.0341353055918367,60521600,2,50,50000,8 scalar label
CPU,0.0365661273357664,60521600,2,50,100000,8 scalar label
CPU,0.0420851494621849,60521600,2,50,200000,8 scalar label
CPU,0.0648261676666667,60521600,2,50,500000,8 scalar label
CPU,0.0426276426525424,77078144,2,100,10000,8 scalar label
CPU,0.04532656,77078144,2,100,50000,8 scalar label
CPU,0.0508307029292929,77078144,2,100,100000,8 scalar label
CPU,0.0651194888831169,77078144,2,100,200000,8 scalar label
