Device,Order,NSamples,NTraces,NLabels,Time
GPU,4,1000,50000,128,1
GPU,8,1000,50000,128,2
GPU,16,1000,50000,128,3
GPU,32,1000,50000,128,11
GPU,64,1000,50000,128,51
GPU,2,100,100000,128,0.089
GPU,4,100,100000,128,0.145
GPU,8,100,100000,128,0.25
GPU,16,100,100000,128,0.434
GPU,32,100,100000,128,1
GPU,64,100,100000,128,8
GPU,2,500,100000,128,1
GPU,4,500,100000,128,1
GPU,8,500,100000,128,2
GPU,16,500,100000,128,3
GPU,32,500,100000,128,7
GPU,64,500,100000,128,45
GPU,2,1000,100000,128,3
GPU,4,1000,100000,128,3
GPU,8,1000,100000,128,4
GPU,16,1000,100000,128,6
GPU,32,1000,100000,128,15
GPU,64,1000,100000,128,93
